Description,Scenario,AgentType,Difficulty,TimeToComplete,Strategy,Challenging,GeneralComments,Age,Gender,Occupation,ComputerUsage,DominantHand,EnglishAsFirst,ExpWithRobots,ExpWithRCCars,ExpWithFPS,ExpWithRTS,ExpWithRobotComments,InternalUserID,RosariosComments
Pick up the nearest orange block.,Configuration_13_v1.png,robot,3,0:00:20,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208,
Pick up the furthest away yellow block.,Configuration_5_v2.png,robot,4,0:00:19,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208,
Pick up the leftmost blue block.,Configuration_7_v1.png,robot,4,0:00:16,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208,
pick the green box at the top.,Configuration_3_v2.png,human,,0:00:29,"No, I have not.",It was not challenging.,,30,male,consultant,>20,Right,1,2,4,3,3,I have owned toy robots.,77,
pick the green block in the middle of the top cluster of green blocks,Configuration_8_v1.png,human,,0:01:06,"No, I have not.",It was not challenging.,,30,male,consultant,>20,Right,1,2,4,3,3,I have owned toy robots.,77,
pick the highest blue block,Configuration_12_v2.png,human,,0:00:16,"No, I have not.",It was not challenging.,,30,male,consultant,>20,Right,1,2,4,3,3,I have owned toy robots.,77,
pick the second block from the left,Configuration_2_v1.png,human,,0:00:29,"No, I have not.",It was not challenging.,,30,male,consultant,>20,Right,1,2,4,3,3,I have owned toy robots.,77,
pick the third yellow block from the bottom,Configuration_4_v2.png,human,,0:00:22,"No, I have not.",It was not challenging.,,30,male,consultant,>20,Right,1,2,4,3,3,I have owned toy robots.,77,
pick the highest green block,Configuration_9_v1.png,human,,0:00:13,"No, I have not.",It was not challenging.,,30,male,consultant,>20,Right,1,2,4,3,3,I have owned toy robots.,77,
pick the lowest green block,Configuration_1_v2.png,human,,0:00:14,"No, I have not.",It was not challenging.,,30,male,consultant,>20,Right,1,2,4,3,3,I have owned toy robots.,77,
pick the highest orange block,Configuration_10_v1.png,human,,0:00:12,"No, I have not.",It was not challenging.,,30,male,consultant,>20,Right,1,2,4,3,3,I have owned toy robots.,77,
pick the second blue block from the bottom,Configuration_14_v2.png,human,,0:00:21,"No, I have not.",It was not challenging.,,30,male,consultant,>20,Right,1,2,4,3,3,I have owned toy robots.,77,
"pick the second yellow block, from the left",Configuration_11_v1.png,human,,0:00:27,"No, I have not.",It was not challenging.,,30,male,consultant,>20,Right,1,2,4,3,3,I have owned toy robots.,77,
pick the highest yellow bloxk,Configuration_5_v2.png,human,,0:00:55,"No, I have not.",It was not challenging.,,30,male,consultant,>20,Right,1,2,4,3,3,I have owned toy robots.,77,
"pick the fifth green block, from the top",Configuration_6_v1.png,human,,0:00:44,"No, I have not.",It was not challenging.,,30,male,consultant,>20,Right,1,2,4,3,3,I have owned toy robots.,77,
"pick the yellow block, third from the left",Configuration_13_v2.png,human,,0:00:32,"No, I have not.",It was not challenging.,,30,male,consultant,>20,Right,1,2,4,3,3,I have owned toy robots.,77,
pick the blue block on your left,Configuration_7_v1.png,human,,0:00:24,"No, I have not.",It was not challenging.,,30,male,consultant,>20,Right,1,2,4,3,3,I have owned toy robots.,77,
Pick up the green block closest to you.,Configuration_9_v2.png,robot,4,0:00:16,"I did not follow any particular strategy other than going for the most  obvious, simplest instruction.","Some took a few moments of thought, but most were fairly easy.","The study hung once on me (at #7). Reloading the page didn't work, so I had to start again from the beginning.",27,male,Marketer,>20,Left,1,1,1,4,3,"No, only pictures.",76,
"To your left, there is a group of three blue blocks between a yellow block and an orange block: pick up the middle blue block.",Configuration_2_v1.png,robot,3,0:01:19,"I did not follow any particular strategy other than going for the most  obvious, simplest instruction.","Some took a few moments of thought, but most were fairly easy.","The study hung once on me (at #7). Reloading the page didn't work, so I had to start again from the beginning.",27,male,Marketer,>20,Left,1,1,1,4,3,"No, only pictures.",76,
Find the orange block closest to you. Pick up the yellow block just behind the yellow block behind that orange block.,Configuration_4_v2.png,robot,3,0:01:23,"I did not follow any particular strategy other than going for the most  obvious, simplest instruction.","Some took a few moments of thought, but most were fairly easy.","The study hung once on me (at #7). Reloading the page didn't work, so I had to start again from the beginning.",27,male,Marketer,>20,Left,1,1,1,4,3,"No, only pictures.",76,
Pick up the blue block second furthest from you.,Configuration_12_v1.png,robot,4,0:00:34,"I did not follow any particular strategy other than going for the most  obvious, simplest instruction.","Some took a few moments of thought, but most were fairly easy.","The study hung once on me (at #7). Reloading the page didn't work, so I had to start again from the beginning.",27,male,Marketer,>20,Left,1,1,1,4,3,"No, only pictures.",76,
Find the only two green blocks. Pick up the yellow block in front of and just to the right of those green blocks.,Configuration_13_v2.png,robot,3,0:01:11,"I did not follow any particular strategy other than going for the most  obvious, simplest instruction.","Some took a few moments of thought, but most were fairly easy.","The study hung once on me (at #7). Reloading the page didn't work, so I had to start again from the beginning.",27,male,Marketer,>20,Left,1,1,1,4,3,"No, only pictures.",76,
Pick up the blue block furthest to your right.,Configuration_14_v1.png,robot,4,0:00:29,"I did not follow any particular strategy other than going for the most  obvious, simplest instruction.","Some took a few moments of thought, but most were fairly easy.","The study hung once on me (at #7). Reloading the page didn't work, so I had to start again from the beginning.",27,male,Marketer,>20,Left,1,1,1,4,3,"No, only pictures.",76,
There is a group of three green block near the yellow block furthest from you. Pick up the left-most green block in front of the yellow block.,Configuration_8_v2.png,robot,3,0:02:39,"I did not follow any particular strategy other than going for the most  obvious, simplest instruction.","Some took a few moments of thought, but most were fairly easy.","The study hung once on me (at #7). Reloading the page didn't work, so I had to start again from the beginning.",27,male,Marketer,>20,Left,1,1,1,4,3,"No, only pictures.",76,
Pick up the green block closest to you.,Configuration_3_v1.png,robot,4,0:00:23,"I did not follow any particular strategy other than going for the most  obvious, simplest instruction.","Some took a few moments of thought, but most were fairly easy.","The study hung once on me (at #7). Reloading the page didn't work, so I had to start again from the beginning.",27,male,Marketer,>20,Left,1,1,1,4,3,"No, only pictures.",76,
Find the one group of two orange blocks. Pick up the green block in front of those orange blocks.,Configuration_6_v2.png,robot,3,0:01:14,"I did not follow any particular strategy other than going for the most  obvious, simplest instruction.","Some took a few moments of thought, but most were fairly easy.","The study hung once on me (at #7). Reloading the page didn't work, so I had to start again from the beginning.",27,male,Marketer,>20,Left,1,1,1,4,3,"No, only pictures.",76,
Pick up the only yellow block.,Configuration_1_v1.png,robot,5,0:00:18,"I did not follow any particular strategy other than going for the most  obvious, simplest instruction.","Some took a few moments of thought, but most were fairly easy.","The study hung once on me (at #7). Reloading the page didn't work, so I had to start again from the beginning.",27,male,Marketer,>20,Left,1,1,1,4,3,"No, only pictures.",76,
Pick up the yellow block furthest from you.,Configuration_5_v2.png,robot,4,0:00:26,"I did not follow any particular strategy other than going for the most  obvious, simplest instruction.","Some took a few moments of thought, but most were fairly easy.","The study hung once on me (at #7). Reloading the page didn't work, so I had to start again from the beginning.",27,male,Marketer,>20,Left,1,1,1,4,3,"No, only pictures.",76,
